,Service Department,,3,3,3,3,3,3,"online,phone, email 24 service=5, online,phone, email 8/24 service=3,  no service =1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,References,,5,5,5,5,5,5,"10 companies=5, 5-9=3, less 5=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Partnerships,,5,5,5,5,5,5,"10 companies=5, 5-9=3, less 5=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,5,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Project Understanding,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Comprehension of Project Objectives,,5,5,5,5,5,5,"fully understand=5, try to understand=3, lost=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Understanding of the Business Requirements,,5,5,5,5,5,5,"fully understand=5, try to understand=3, lost=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Understanding of the Business Vision,,5,5,5,5,5,5,"fully understand=5, try to understand=3, lost=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. Requirements,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Completeness of Vendor Response,,5,5,5,3,3,3,"ready done=5, 80%done=3, less then 80%=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor Ability to Meet Requirements,,5,5,5,3,3,3,"ready done=5, 80%done=3, less then 80%=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,5,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Product Viability & History,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technology Is Sustainable,,5,5,5,5,5,5,"fully documented =5, just main features = 3, no documentation=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Roadmap,,5,5,5,5,5,5,"fully documented =5, just main features = 3, no documentation=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Development Life-Cycle,,5,5,5,5,5,5,"fully documented =5, just main features = 3, no documentation=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Criteria Checklist,,,,,,,,Scores Available from 1-5. Basis for scoring must be listed with specific examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Release Process,,3,3,3,3,3,3,"automated online each month=5, automated online each quarter=3,automated online each year=1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Terms & Conditions,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Detailed Buyer Duties,,3,3,3,3,3,3,"unique, check by local lawyers=5, standard, check by local lawyers=3, not ready=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Terms & Conditions ,,3,3,3,3,3,3,"unique, check by local lawyers=5, standard, check by local lawyers=3, not ready=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchase Agreement Details,,5,5,5,5,5,5,"unique, check by local lawyers=5, standard, check by local lawyers=3, not ready=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Vendor Software Demonstration,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solution Is Integrated,,5,5,5,3,3,3,"fully =5, 80%=3, less 80%=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aligns with Company Objectives,,5,5,5,3,3,3,"fully =5, 80%=3, less 80%=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Third-Party Products Shown,,5,5,5,5,5,5,"fully =5, 80%=3, less 80%=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ease of Use,,5,5,5,5,5,5,"easy, native = 5, easy with training =3, lost=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Performance,,5,5,5,5,5,5,"strong=5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flow & Simplicity,,5,5,5,5,5,5,"strong=5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Ability To Handle Requirements,,5,5,5,5,5,5,"strong=5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Flexibility, Tailorability, Extensibility",,5,5,5,5,5,5,"strong=5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ability to Answer Questions,,5,5,5,5,5,5,"strong=5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Application Robustness,,5,5,5,5,5,5,"strong=5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Fee Summary,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,License Fees,,5,5,3,5,5,3,"up to 10 000usd=5, 10-20 000usd=3, over 20 000usd=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintenance Fees,,5,5,5,5,5,3,"up to 1000usd=5, 1000-5000usd=3, over 5000usd=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchase Timeline,,5,5,5,5,5,3,"up to 3month=5, 3-6month=3, over 6month =1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licensing Period,,5,5,3,5,5,3,"no limit with 3month termination=5, up to 2years=3, over 2years =1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Fees,,5,5,5,5,5,3,"no other fee =5, other fee up to 500usd=3, other fee over 500usd=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,5,5,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*Change weights based on company requirements. Total score should = 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRITERIA SCORES,,WEIGHT,WEIGHT,Pennant 50k loans,Nucleus,Habile,Perfios,Salesforce,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Adherence to RFP Instructions,,0.05,0.05,0.23,0.23,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Company Information,,0.05,0.05,0.93,0.93,0.87,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Project Understanding,,0.20,0.20,1.50,1.50,1.50,1.50,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. Requirements,,0.30,0.30,0.25,0.25,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Product Viability & History,,0.05,0.05,0.23,0.23,0.23,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Terms & Conditions,,0.05,0.05,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Vendor Demonstration,,0.25,0.25,0.25,0.25,0.23,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Fee Summary,,0.05,0.05,5.00,4.20,5.00,5.00,3.00,no price offer from Perfios but expecting low fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Score,,1.00,1.00,9.30,8.50,9.04,9.04,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exchange rate INR => EUR,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,real price in Rupies,,2020,2020,2020,2020,2020,2022,2022,2021,2022,Detailed info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Fee Summary,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios 2020 25K loans,Perfios 2022 25K loans,Perfios 2022 250K loans,Salesforce,M2P,C:\Users\rostislav.sikora\Documents\Ferratum\India\Pennant.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,License Fees (one time),,"1,500,000","1,500,000","9,000,000","725,000","1,400,000","2,600,000","2,600,000",,"1,750,000",C:\Users\rostislav.sikora\Documents\Ferratum\India\Nucleus.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintenance Fees (montly),,"700,000","350,000","20,000,000","35,000","58,333","100,000","100,000",,"175,000","Habile is developing ""Revolving credit""(2month)- then we will get price offer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchase Timeline,,3month,3month,3month,3month,3month,3month,3month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licensing Period,,2y,2y,2y,2y,2y,2y,2y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Fees (monthly),,0,0,0,0,"200,000","200,000","500,000",,0,Perfios annnual license fee 800K INR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total monthly fees,,"700,000","350,000","20,000,000","35,000","258,333","300,000","600,000",,"175,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,real price in Euro,,2020,2020,2020,2020,2020,2022,2022,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Fee Summary,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios 2020 25K loans,Perfios 2022 25K loans,Perfios 2022 250K loans,Salesforce,M2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,License Fees (one time),,"18,000","18,000","108,000","8,700","16,800","31,200","31,200","90,750","21,000",20 users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintenance Fees (montly),,"8,400","4,200","240,000",420,700,"1,200","1,200","4,538","2,100",Perfios up to 10k per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchase Timeline,,3month,3month,3month,3month,3month,3month,3month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licensing Period,,2y,2y,5y,2y,2y,2y,2y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Fees (monthly),,0,0,0,0,"2,400","2,400","6,000",625,0,Salesforce: rev share on volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total monthly fees,,"8,400","4,200","240,000",420,"3,100","3,600","7,200","5,163","2,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Estimated additional costs required (product development, 3p integrations, infrastructure, hosting) on top",,"100,000","100,000",N/A,"150,000",,0,0,"250,000","250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Minimum first year investment (license, monthly, additional costs)",,"218,800","168,400","2,988,000","163,740","54,000","74,400","117,600","402,704","296,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: prices marked red are not relevant anymore and negotiations would have to be restarted to update.?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
